No.,Nama Jurnal,Singkatan Nama Jurnal,Link Jurnal,ISSN,E ISSN,Bidang,Bidang Ilmu,Sinta,Masa aktif Sinta,Scopus,Masa aktif Scopus,Penerbit,Kota Terbit
1,Jurnal Hilirisasi Technology kepada Masyarakat (SITECHMAS),SITECHMAS,https://jurnal.polines.ac.id/index.php/SITECHMAS,2775054X,27750558,Penelitian,Teknik,S5,2020-2025,Blm_scopus,,Politeknik Negeri Semarang,Semarang
2,Pedagogia: Jurnal Ilmiah Pendidikan Dasar Indonesia,PEDAGOGIA,https://jurnal.stkippgribl.ac.id/index.php/pedagogia,27156133,27156125,Penelitian,Pendidikan,S5,2019-2024,Blm_scopus,,STKIP PGRI Bandar Lampung,Lampung
3,JURNAL ILMIAH EDUKATIF,EDUKATIF,http://journal.iaisambas.ac.id/index.php/edukatif,24423858,27454681,Penelitian,Sosial & Politik,S5,2019-2024,Blm_scopus,,Institut Agama Islam Sultan Muhammad Syafiuddin Sambas,Pontianak
4,Journal of Elementary School (JOES)Journal of Elementary School (JOES),JOES,https://journal.ipm2kpe.or.id/index.php/JOES,26207338,26151448,Penelitian,Semua Ilmu,S5,2018-2023,Blm_scopus,,"Institut Penelitian Matematika, Komputer, Keperawatan, Pendidikan dan Ekonomi",Lubuk linggau
5,Jurnal Pelayanan dan Pengabdian Masyarakat (Pamas),PAMAS,http://ejournal.urindo.ac.id/index.php/PAMAS,2685-5968,2685-6301,Pengabdian,Sosial & Politik,S5,2018 - 2025,blm_scopus,-,Universitas Respati Indonesia,"Palu, Sulawesi Tengah"
6,Society : Jurnal Jurusan Tadris IPS,SOCIETY,https://journal.uinmataram.ac.id/index.php/society,2087-0493,2715-5994,Penelitian,Pendidikan,S5,2022 - 2087,blm_scopus,-,Universitas Islam Negeri Mataram,"Pekanbaru, Riau"
7,PRODUKTIF: Jurnal Kepegawaian dan Organisasi,PRODUKTIF,https://jurnalpustek.org/index.php/sdmo,-,2964-4321,Penelitian,Manajemen,S5,2022 - 2026,blm_scopus,-,Sekolah Menengah Kejuruan Pustek Serpong,"Bogor, Jawa Barat"
8,Midwifery and Nursing Research (MANR),MANR,http://ejournal.poltekkes-smg.ac.id/ojs/index.php/MANR,2685-2020,2685-2012,Penelitian,Keperawatan,S5,2012 - 2026,blm_scopus,-,Poltekkes Kemenkes Semarang,"Tegal, Jawa Tengah"
9,Pharmacology And Pharmacy Scientific Journals (PAPS Journals),PAPS,https://journal.intelekmadani.org/index.php/papsjournals,-,2830-7070,Penelitian,Farmasi,S5,2022 - 2026,blm_scopus,-,Unit Publikasi Ilmiah Perkumpulan Intelektual Madani Indonesia,"Palembang, Sumatera Selatan"
10,"Journal of Medical Science; Jurnal Ilmu Medis Rumah Sakit Umum Daerah dr. Zainoel Abidin, Banda Aceh",JMS,https://rsudza.acehprov.go.id/publikasi/index.php/JMS,-,2721-7884,Penelitian,Kedokteran,S5,2021 - 2026,blm_scopus,-,-,"Blitar, Jawa Timur"
11,Journal of Sustainable Civil Engineering (JOSCE),JOSCE,http://ejournal.lppm-unbaja.ac.id/index.php/josce,-,2656-2766,Penelitian,Sipil,S5,2019 - 2025,blm_scopus,-,Journal Of Sustainable Civil Engineering (josce),"Cirebon, Jawa Barat"
